interpreter scholar;artist
flik's folks;flacks
fredriksson 
delany de lay;de-lay
nostalgically most logical;ised logical
vujisic virtuosic;vocalic
yas yaks;yams
força orca;fork
macabra cobra;make bare
bypassed omit;circumvent
bookcase cabinet;bookrack
okten olden;oked
mexico maxi;exec
bii bi;biri
headdresses helmet;hat
after' aft;rafter
monstrosity abnormality;monster
magera's makers;agoras
filemon lemon;fireman
redemeption resumption;diremption
fortyish fetish;faddish
oily buttery;waxy
traceable detectable;accountable
buttressed mainstay;column
romantically romantic;romantic lead
macromeglia more comical;Mickey Mouse
operetta operator;opera
uhb urb;hob
cultists' cultuses;occultists
assiduously vigorously;nimbly
daniels dingles;dances
antiseptic hygienic;sterile
zem gem;hem
catastrophically catastrophic;calamitous
because as;being
beta testing;suspect
elson elusion;elan
anxious afraid;restless
mold cavity;sort
initiating begin;launch
mulrooney maroon;millinery
dissatisfied complaining;displeased
sylvania slaving;solving
tresses braid;lock
embourgeoisement embarrassment;embarkment
âspawn' spawn;is pain
keitel kirtle;keel
frear's friars;fears
wrestlemania wrestle;resettlement
tragedia tragedy;tragedies
lambaste excoriate;scold
d'indy dainty;dint
fervid ardent;impassioned
bettah better;bettor
shaffer shaver;chiffer
bree's breezy;briers
commedy commode;comet
implying signify;entail
noe's n's;nos
muzzle cover;envelope
porno's porns;porno
lampoon' lamping;lampooned
ludicrosity ludicrous;laid to rest
'bits' bitsy;bats
roizman's romance;rosins
psychogenic psychological;metaphysical
i'ld id;ld
radio's radio;readies
film'' filmy;films
bushwackers 
cingular circular;single
dorie dories;dearie
gubmint garment;geminate
monoan mooning;moan
'herself' has life;myself
thierry thievery;there
phlegm lethargy;coolness
connoisseurs devotee;dilettante
relevance importance;purpose
'pretty petty;parity
beavis be-vies;beavers
kimmell pommel;pummel
alastair astir;alaska
terminator's dominators;tormentors
473 .25;180
crumple crush;buckle
ennoble exalt;dignify
vase urn;jar
quipping spurn;repudiate
vogueing viking;vogue
hrr rr;har
'tombstone' 
deformations deformity;unsightliness
verifiable valid;correct
shematic thematic;schematic
homoerotic lesbian;gay
'stuffy stuff;stiff
cavalcanti's golcondas;bonanza
